Powermeter serial number; P0013475
Sensor serial number; 200922128
Sensor Type; Photodiode
Wavelength(nm); 640

Date (MM/dd/yyyy) ; Time of day (hh:mm:ss.fff); Power(W)
4/8/2021;14:19:33.420; 1.3706E-07
4/8/2021;14:19:33.422; 1.3649E-07
4/8/2021;14:19:33.425; 1.3648E-07
4/8/2021;14:19:33.428; 1.3669E-07
4/8/2021;14:19:33.430; 1.3658E-07
4/8/2021;14:19:33.433; 1.3733E-07
4/8/2021;14:19:33.436; 1.3711E-07
4/8/2021;14:19:33.439; 1.3761E-07
4/8/2021;14:19:33.441; 1.3707E-07
4/8/2021;14:19:33.444; 1.3695E-07
4/8/2021;14:19:33.448; 1.3708E-07
4/8/2021;14:19:33.450; 1.3729E-07
4/8/2021;14:19:33.453; 1.3737E-07
4/8/2021;14:19:33.456; 1.3711E-07
4/8/2021;14:19:33.458; 1.3778E-07
4/8/2021;14:19:33.461; 1.3741E-07
4/8/2021;14:19:33.464; 1.3795E-07
4/8/2021;14:19:33.466; 1.3801E-07
4/8/2021;14:19:33.469; 1.3823E-07
4/8/2021;14:19:33.472; 1.3852E-07
4/8/2021;14:19:33.474; 1.383E-07
4/8/2021;14:19:33.477; 1.3858E-07
4/8/2021;14:19:33.479; 1.3851E-07
4/8/2021;14:19:33.482; 1.3887E-07
4/8/2021;14:19:33.485; 1.3825E-07
4/8/2021;14:19:33.488; 1.3889E-07
4/8/2021;14:19:33.490; 1.3833E-07
4/8/2021;14:19:33.493; 1.3858E-07
4/8/2021;14:19:33.499; 1.3849E-07
4/8/2021;14:19:33.502; 1.3852E-07
4/8/2021;14:19:33.504; 1.3849E-07
4/8/2021;14:19:33.507; 1.3854E-07
4/8/2021;14:19:33.510; 1.3809E-07
4/8/2021;14:19:33.512; 1.3821E-07
4/8/2021;14:19:33.515; 1.3831E-07
4/8/2021;14:19:33.520; 1.3755E-07
4/8/2021;14:19:33.523; 1.3803E-07
4/8/2021;14:19:33.526; 1.3775E-07
4/8/2021;14:19:33.528; 1.3771E-07
4/8/2021;14:19:33.531; 1.3816E-07
4/8/2021;14:19:33.534; 1.3785E-07
4/8/2021;14:19:33.536; 1.3858E-07
4/8/2021;14:19:33.541; 1.3876E-07
4/8/2021;14:19:33.544; 1.3836E-07
4/8/2021;14:19:33.546; 1.3834E-07
4/8/2021;14:19:33.549; 1.3835E-07
4/8/2021;14:19:33.552; 1.3785E-07
4/8/2021;14:19:33.554; 1.3813E-07
4/8/2021;14:19:33.557; 1.3809E-07
4/8/2021;14:19:33.560; 1.3773E-07
4/8/2021;14:19:33.562; 1.3797E-07
4/8/2021;14:19:33.565; 1.372E-07
4/8/2021;14:19:33.568; 1.373E-07
4/8/2021;14:19:33.570; 1.3718E-07
4/8/2021;14:19:33.573; 1.3757E-07
4/8/2021;14:19:33.576; 1.3754E-07
4/8/2021;14:19:33.578; 1.381E-07
4/8/2021;14:19:33.581; 1.3746E-07
4/8/2021;14:19:33.584; 1.3817E-07
4/8/2021;14:19:33.586; 1.3774E-07
4/8/2021;14:19:33.589; 1.3799E-07
4/8/2021;14:19:33.592; 1.3751E-07
4/8/2021;14:19:33.596; 1.3755E-07
4/8/2021;14:19:33.598; 1.3799E-07
4/8/2021;14:19:33.601; 1.3738E-07
4/8/2021;14:19:33.604; 1.3781E-07
4/8/2021;14:19:33.606; 1.3711E-07
4/8/2021;14:19:33.613; 1.3778E-07
4/8/2021;14:19:33.615; 1.3733E-07
4/8/2021;14:19:33.618; 1.3751E-07
4/8/2021;14:19:33.621; 1.3761E-07
4/8/2021;14:19:33.623; 1.3755E-07
4/8/2021;14:19:33.626; 1.3761E-07
4/8/2021;14:19:33.629; 1.3714E-07
4/8/2021;14:19:33.631; 1.3769E-07
4/8/2021;14:19:33.634; 1.3743E-07
4/8/2021;14:19:33.637; 1.3808E-07
4/8/2021;14:19:33.639; 1.3793E-07
4/8/2021;14:19:33.642; 1.3781E-07
4/8/2021;14:19:33.646; 1.3807E-07
4/8/2021;14:19:33.648; 1.3753E-07
4/8/2021;14:19:33.651; 1.3791E-07
4/8/2021;14:19:33.660; 1.3769E-07
4/8/2021;14:19:33.662; 1.3798E-07
4/8/2021;14:19:33.665; 1.3737E-07
4/8/2021;14:19:33.668; 1.3799E-07
4/8/2021;14:19:33.670; 1.3752E-07
4/8/2021;14:19:33.673; 1.3767E-07
4/8/2021;14:19:33.676; 1.3741E-07
4/8/2021;14:19:33.678; 1.3736E-07
4/8/2021;14:19:33.681; 1.3776E-07
4/8/2021;14:19:33.684; 1.3776E-07
4/8/2021;14:19:33.686; 1.3806E-07
4/8/2021;14:19:33.689; 1.3815E-07
4/8/2021;14:19:33.692; 1.3887E-07
4/8/2021;14:19:33.698; 1.3816E-07
4/8/2021;14:19:33.701; 1.3868E-07
4/8/2021;14:19:33.703; 1.3834E-07
4/8/2021;14:19:33.706; 1.3864E-07
4/8/2021;14:19:33.709; 1.3877E-07
4/8/2021;14:19:33.711; 1.3825E-07
4/8/2021;14:19:33.714; 1.3854E-07
4/8/2021;14:19:33.717; 1.3806E-07
4/8/2021;14:19:33.719; 1.3821E-07
4/8/2021;14:19:33.722; 1.3773E-07
4/8/2021;14:19:33.725; 1.3776E-07
4/8/2021;14:19:33.727; 1.3746E-07
4/8/2021;14:19:33.730; 1.372E-07
4/8/2021;14:19:33.733; 1.3737E-07
4/8/2021;14:19:33.735; 1.3702E-07
4/8/2021;14:19:33.739; 1.3771E-07
4/8/2021;14:19:33.742; 1.3757E-07
4/8/2021;14:19:33.746; 1.3788E-07
4/8/2021;14:19:33.749; 1.3763E-07
4/8/2021;14:19:33.752; 1.3797E-07
4/8/2021;14:19:33.754; 1.3797E-07
4/8/2021;14:19:33.757; 1.3788E-07
4/8/2021;14:19:33.760; 1.3828E-07
4/8/2021;14:19:33.762; 1.3844E-07
4/8/2021;14:19:33.765; 1.3837E-07
4/8/2021;14:19:33.768; 1.3798E-07
4/8/2021;14:19:33.770; 1.3821E-07
4/8/2021;14:19:33.773; 1.382E-07
4/8/2021;14:19:33.776; 1.3797E-07
4/8/2021;14:19:33.778; 1.3761E-07
4/8/2021;14:19:33.781; 1.3784E-07
4/8/2021;14:19:33.784; 1.3781E-07
4/8/2021;14:19:33.786; 1.3774E-07
4/8/2021;14:19:33.789; 1.3748E-07
4/8/2021;14:19:33.792; 1.3747E-07
4/8/2021;14:19:33.798; 1.3771E-07
4/8/2021;14:19:33.800; 1.3754E-07
4/8/2021;14:19:33.803; 1.3741E-07
4/8/2021;14:19:33.806; 1.3778E-07
4/8/2021;14:19:33.808; 1.3793E-07
4/8/2021;14:19:33.811; 1.3817E-07
4/8/2021;14:19:33.814; 1.377E-07
4/8/2021;14:19:33.816; 1.3759E-07
4/8/2021;14:19:33.819; 1.3718E-07
4/8/2021;14:19:33.822; 1.3723E-07
4/8/2021;14:19:33.824; 1.3725E-07
4/8/2021;14:19:33.827; 1.3711E-07
4/8/2021;14:19:33.830; 1.3747E-07
4/8/2021;14:19:33.832; 1.3746E-07
4/8/2021;14:19:33.835; 1.3746E-07
4/8/2021;14:19:33.838; 1.3747E-07
4/8/2021;14:19:33.840; 1.3808E-07
4/8/2021;14:19:33.843; 1.3833E-07
4/8/2021;14:19:33.846; 1.3838E-07
4/8/2021;14:19:33.848; 1.3908E-07
4/8/2021;14:19:33.851; 1.3905E-07
4/8/2021;14:19:33.854; 1.3883E-07
4/8/2021;14:19:33.856; 1.3883E-07
4/8/2021;14:19:33.859; 1.3843E-07
4/8/2021;14:19:33.862; 1.3877E-07
4/8/2021;14:19:33.864; 1.3791E-07
4/8/2021;14:19:33.866; 1.3819E-07
4/8/2021;14:19:33.869; 1.3752E-07
4/8/2021;14:19:33.873; 1.3769E-07
4/8/2021;14:19:33.876; 1.3705E-07
4/8/2021;14:19:33.879; 1.3695E-07
4/8/2021;14:19:33.881; 1.3675E-07
4/8/2021;14:19:33.884; 1.3697E-07
4/8/2021;14:19:33.887; 1.3665E-07
4/8/2021;14:19:33.889; 1.3659E-07
4/8/2021;14:19:33.892; 1.3687E-07
4/8/2021;14:19:33.898; 1.3668E-07
4/8/2021;14:19:33.901; 1.3712E-07
4/8/2021;14:19:33.903; 1.3717E-07
4/8/2021;14:19:33.906; 1.37E-07
4/8/2021;14:19:33.909; 1.367E-07
4/8/2021;14:19:33.911; 1.3681E-07
4/8/2021;14:19:33.914; 1.3656E-07
4/8/2021;14:19:33.917; 1.3713E-07
4/8/2021;14:19:33.919; 1.3661E-07
4/8/2021;14:19:33.922; 1.3703E-07
4/8/2021;14:19:33.925; 1.3678E-07
4/8/2021;14:19:33.927; 1.3679E-07
4/8/2021;14:19:33.930; 1.3665E-07
4/8/2021;14:19:33.933; 1.3722E-07
4/8/2021;14:19:33.935; 1.3745E-07
4/8/2021;14:19:33.938; 1.3782E-07
4/8/2021;14:19:33.941; 1.374E-07
4/8/2021;14:19:33.943; 1.3771E-07
4/8/2021;14:19:33.947; 1.3779E-07
4/8/2021;14:19:33.950; 1.3727E-07
4/8/2021;14:19:33.952; 1.3716E-07
4/8/2021;14:19:33.955; 1.3678E-07
4/8/2021;14:19:33.958; 1.3715E-07
4/8/2021;14:19:33.960; 1.3702E-07
4/8/2021;14:19:33.963; 1.37E-07
4/8/2021;14:19:33.966; 1.3682E-07
4/8/2021;14:19:33.968; 1.3733E-07
4/8/2021;14:19:33.971; 1.3654E-07
4/8/2021;14:19:33.974; 1.3719E-07
4/8/2021;14:19:33.976; 1.3736E-07
4/8/2021;14:19:33.979; 1.3804E-07
4/8/2021;14:19:33.982; 1.3805E-07
4/8/2021;14:19:33.984; 1.3822E-07
4/8/2021;14:19:33.987; 1.3785E-07
4/8/2021;14:19:33.990; 1.3793E-07
4/8/2021;14:19:33.992; 1.3797E-07
4/8/2021;14:19:33.997; 1.3763E-07
4/8/2021;14:19:34.000; 1.3807E-07
4/8/2021;14:19:34.002; 1.3759E-07
4/8/2021;14:19:34.005; 1.3766E-07
4/8/2021;14:19:34.008; 1.3689E-07
4/8/2021;14:19:34.010; 1.3696E-07
4/8/2021;14:19:34.013; 1.3673E-07
4/8/2021;14:19:34.016; 1.3678E-07
4/8/2021;14:19:34.018; 1.3703E-07
4/8/2021;14:19:34.021; 1.3686E-07
4/8/2021;14:19:34.024; 1.3709E-07
4/8/2021;14:19:34.026; 1.3672E-07
4/8/2021;14:19:34.029; 1.3716E-07
4/8/2021;14:19:34.032; 1.3727E-07
4/8/2021;14:19:34.034; 1.3755E-07
4/8/2021;14:19:34.037; 1.374E-07
4/8/2021;14:19:34.040; 1.3733E-07
4/8/2021;14:19:34.042; 1.3735E-07
4/8/2021;14:19:34.046; 1.3734E-07
4/8/2021;14:19:34.051; 1.3762E-07
4/8/2021;14:19:34.054; 1.3773E-07
4/8/2021;14:19:34.056; 1.3785E-07
4/8/2021;14:19:34.059; 1.3765E-07
4/8/2021;14:19:34.062; 1.3741E-07
4/8/2021;14:19:34.064; 1.3766E-07
4/8/2021;14:19:34.067; 1.3796E-07
4/8/2021;14:19:34.070; 1.3806E-07
4/8/2021;14:19:34.072; 1.3809E-07
4/8/2021;14:19:34.075; 1.377E-07
4/8/2021;14:19:34.078; 1.3745E-07
4/8/2021;14:19:34.080; 1.369E-07
4/8/2021;14:19:34.083; 1.3721E-07
4/8/2021;14:19:34.086; 1.3702E-07
4/8/2021;14:19:34.088; 1.3693E-07
4/8/2021;14:19:34.091; 1.3642E-07
4/8/2021;14:19:34.094; 1.367E-07
4/8/2021;14:19:34.100; 1.3637E-07
4/8/2021;14:19:34.102; 1.3656E-07
4/8/2021;14:19:34.105; 1.3698E-07
4/8/2021;14:19:34.108; 1.3721E-07
4/8/2021;14:19:34.110; 1.3751E-07
4/8/2021;14:19:34.113; 1.3733E-07
4/8/2021;14:19:34.116; 1.3725E-07
4/8/2021;14:19:34.118; 1.3781E-07
4/8/2021;14:19:34.121; 1.3758E-07
4/8/2021;14:19:34.124; 1.3774E-07
4/8/2021;14:19:34.127; 1.3762E-07
4/8/2021;14:19:34.130; 1.3772E-07
4/8/2021;14:19:34.132; 1.3755E-07
4/8/2021;14:19:34.135; 1.3736E-07
4/8/2021;14:19:34.138; 1.3791E-07
4/8/2021;14:19:34.140; 1.3809E-07
4/8/2021;14:19:34.143; 1.3856E-07
4/8/2021;14:19:34.146; 1.3789E-07
4/8/2021;14:19:34.148; 1.3869E-07
4/8/2021;14:19:34.151; 1.3842E-07
4/8/2021;14:19:34.154; 1.3836E-07
4/8/2021;14:19:34.156; 1.3838E-07
4/8/2021;14:19:34.159; 1.3798E-07
4/8/2021;14:19:34.162; 1.3804E-07
4/8/2021;14:19:34.164; 1.3724E-07
4/8/2021;14:19:34.167; 1.374E-07
4/8/2021;14:19:34.170; 1.3664E-07
4/8/2021;14:19:34.172; 1.3752E-07
4/8/2021;14:19:34.175; 1.3695E-07
4/8/2021;14:19:34.178; 1.3725E-07
4/8/2021;14:19:34.180; 1.3746E-07
4/8/2021;14:19:34.183; 1.3757E-07
4/8/2021;14:19:34.186; 1.3803E-07
4/8/2021;14:19:34.188; 1.3809E-07
4/8/2021;14:19:34.191; 1.3841E-07
4/8/2021;14:19:34.194; 1.3793E-07
4/8/2021;14:19:34.198; 1.3856E-07
4/8/2021;14:19:34.201; 1.3765E-07
4/8/2021;14:19:34.204; 1.3787E-07
4/8/2021;14:19:34.207; 1.3739E-07
4/8/2021;14:19:34.209; 1.3779E-07
4/8/2021;14:19:34.212; 1.3741E-07
4/8/2021;14:19:34.215; 1.3702E-07
4/8/2021;14:19:34.217; 1.3691E-07
4/8/2021;14:19:34.220; 1.3651E-07
4/8/2021;14:19:34.223; 1.3679E-07
4/8/2021;14:19:34.225; 1.3647E-07
4/8/2021;14:19:34.228; 1.3667E-07
4/8/2021;14:19:34.231; 1.37E-07
4/8/2021;14:19:34.233; 1.3681E-07
4/8/2021;14:19:34.236; 1.3659E-07
4/8/2021;14:19:34.239; 1.366E-07
4/8/2021;14:19:34.241; 1.3668E-07
4/8/2021;14:19:34.244; 1.3696E-07
4/8/2021;14:19:34.248; 1.3697E-07
4/8/2021;14:19:34.250; 1.3741E-07
4/8/2021;14:19:34.253; 1.3728E-07
4/8/2021;14:19:34.256; 1.3749E-07
4/8/2021;14:19:34.259; 1.3696E-07
4/8/2021;14:19:34.261; 1.3734E-07
4/8/2021;14:19:34.264; 1.3699E-07
4/8/2021;14:19:34.267; 1.3743E-07
4/8/2021;14:19:34.269; 1.3728E-07
4/8/2021;14:19:34.272; 1.3737E-07
4/8/2021;14:19:34.275; 1.3736E-07
4/8/2021;14:19:34.277; 1.3727E-07
4/8/2021;14:19:34.280; 1.3747E-07
4/8/2021;14:19:34.283; 1.3772E-07
4/8/2021;14:19:34.285; 1.3814E-07
4/8/2021;14:19:34.288; 1.3785E-07
4/8/2021;14:19:34.291; 1.3791E-07
4/8/2021;14:19:34.293; 1.3697E-07
4/8/2021;14:19:34.300; 1.3774E-07
4/8/2021;14:19:34.305; 1.3715E-07
4/8/2021;14:19:34.307; 1.3764E-07
4/8/2021;14:19:34.311; 1.3715E-07
4/8/2021;14:19:34.313; 1.3724E-07
4/8/2021;14:19:34.316; 1.3665E-07
4/8/2021;14:19:34.319; 1.3667E-07
4/8/2021;14:19:34.321; 1.3682E-07
4/8/2021;14:19:34.324; 1.3706E-07
4/8/2021;14:19:34.327; 1.3763E-07
4/8/2021;14:19:34.329; 1.3686E-07
4/8/2021;14:19:34.332; 1.3745E-07
4/8/2021;14:19:34.335; 1.3708E-07
4/8/2021;14:19:34.337; 1.3749E-07
4/8/2021;14:19:34.340; 1.3736E-07
4/8/2021;14:19:34.343; 1.3817E-07
4/8/2021;14:19:34.347; 1.3769E-07
4/8/2021;14:19:34.349; 1.3809E-07
4/8/2021;14:19:34.352; 1.3782E-07
4/8/2021;14:19:34.354; 1.3821E-07
4/8/2021;14:19:34.357; 1.383E-07
4/8/2021;14:19:34.360; 1.385E-07
4/8/2021;14:19:34.362; 1.383E-07
4/8/2021;14:19:34.365; 1.3809E-07
4/8/2021;14:19:34.368; 1.3839E-07
4/8/2021;14:19:34.370; 1.379E-07
4/8/2021;14:19:34.373; 1.3861E-07
4/8/2021;14:19:34.376; 1.3819E-07
4/8/2021;14:19:34.379; 1.3883E-07
4/8/2021;14:19:34.382; 1.3805E-07
4/8/2021;14:19:34.385; 1.3847E-07
4/8/2021;14:19:34.388; 1.3788E-07
4/8/2021;14:19:34.390; 1.385E-07
4/8/2021;14:19:34.393; 1.3808E-07
4/8/2021;14:19:34.397; 1.3781E-07
4/8/2021;14:19:34.400; 1.3792E-07
4/8/2021;14:19:34.402; 1.379E-07
4/8/2021;14:19:34.405; 1.3774E-07
4/8/2021;14:19:34.408; 1.3741E-07
4/8/2021;14:19:34.410; 1.3801E-07
4/8/2021;14:19:34.413; 1.3747E-07
4/8/2021;14:19:34.416; 1.3735E-07
